Date,PTV
200218,-30.9113048
200219,-30.64265526
200220,-30.36591034
200221,-30.08074783
200222,-29.78683169
200223,-29.4838117
200224,-29.171323
200225,-28.84898583
200226,-28.51640522
200227,-28.17317077
200228,-27.81885654
200229,-27.45302102
200301,-27.07520724
200302,-26.68494305
200303,-26.28174152
200304,-25.86510164
200305,-25.4345092
200306,-24.989438
200307,-24.52935137
200308,-24.05370413
200309,-23.5619449
200310,-23.05351901
200311,-22.52787187
200312,-21.98445305
200313,-21.42272096
200314,-20.84214829
200315,-20.24222827
200316,-19.62248173
200317,-18.98246505
200318,-18.32177893
200319,-17.64007811
200320,-16.93708181
200321,-16.21258501
200322,-15.46647022
200323,-14.69871979
200324,-13.90942827
200325,-13.09881479
200326,-12.26723487
200327,-11.41519131
200328,-10.54334382
200329,-9.652516632
200330,-8.743703834
200331,-7.818071752
200401,-6.876957998
200402,-5.921866795
200403,-4.954460322
200404,-3.976545969
200405,-2.990059575
200406,-1.997044913
200407,-0.999629876
200408,0
200409,0.999629876
200410,1.997044913
200411,2.990059575
200412,3.976545969
200413,4.954460322
200414,5.921866795
200415,6.876957998
200416,7.818071752
200417,8.743703834
200418,9.652516632
200419,10.54334382
200420,11.41519131
200421,12.26723487
200422,13.09881479
200423,13.90942827
200424,14.69871979
200425,15.46647022
200426,16.21258501
200427,16.93708181
200428,17.64007811
200429,18.32177893
200430,18.98246505
200501,19.62248173
200502,20.24222827
200503,20.84214829
200504,21.42272096
200505,21.98445305
200506,22.52787187
200507,23.05351901
