Date,PTV
2/18/2020,-30.24
2/19/2020,-30.9113048
2/20/2020,-30.64265526
2/21/2020,-30.36591034
2/22/2020,-30.08074783
2/23/2020,-29.78683169
2/24/2020,-29.4838117
2/25/2020,-29.171323
2/26/2020,-28.84898583
2/27/2020,-28.51640522
2/28/2020,-28.17317077
2/29/2020,-27.81885654
3/1/2020,-27.45302102
3/2/2020,-27.07520724
3/3/2020,-26.68494305
3/4/2020,-26.28174152
3/5/2020,-25.86510164
3/6/2020,-25.4345092
3/7/2020,-24.989438
3/8/2020,-24.52935137
3/9/2020,-24.05370413
3/10/2020,-23.5619449
3/11/2020,-23.05351901
3/12/2020,-22.52787187
3/13/2020,-21.98445305
3/14/2020,-21.42272096
3/15/2020,-20.84214829
3/16/2020,-20.24222827
3/17/2020,-19.62248173
3/18/2020,-18.98246505
3/19/2020,-18.32177893
3/20/2020,-17.64007811
3/21/2020,-16.93708181
3/22/2020,-16.21258501
3/23/2020,-15.46647022
3/24/2020,-14.69871979
3/25/2020,-13.90942827
3/26/2020,-13.09881479
3/27/2020,-12.26723487
3/28/2020,-11.41519131
3/29/2020,-10.54334382
3/30/2020,-9.652516632
3/31/2020,-8.743703834
4/1/2020,-7.818071752
4/2/2020,-6.876957998
4/3/2020,-5.921866795
4/4/2020,-4.954460322
4/5/2020,-3.976545969
4/6/2020,-2.990059575
4/7/2020,-1.997044913
4/8/2020,-0.999629876
4/9/2020,0
4/10/2020,0.999629876
4/11/2020,1.997044913
4/12/2020,2.990059575
4/13/2020,3.976545969
4/14/2020,4.954460322
4/15/2020,5.921866795
4/16/2020,6.876957998
4/17/2020,7.818071752
4/18/2020,8.743703834
4/19/2020,9.652516632
4/20/2020,10.54334382
4/21/2020,11.41519131
4/22/2020,12.26723487
4/23/2020,13.09881479
4/24/2020,13.90942827
4/25/2020,14.69871979
4/26/2020,15.46647022
4/27/2020,16.21258501
4/28/2020,16.93708181
4/29/2020,17.64007811
4/30/2020,18.32177893
5/1/2020,18.98246505
5/2/2020,19.62248173
5/3/2020,20.24222827
5/4/2020,20.84214829
5/5/2020,21.42272096
5/6/2020,21.98445305
5/7/2020,22.52787187
5/8/2020,23.05351901
5/9/2020,23.5619449
5/10/2020,24.05370413
5/11/2020,24.52935137
5/12/2020,24.989438
5/13/2020,25.4345092
5/14/2020,25.86510164
5/15/2020,26.28174152
5/16/2020,26.68494305
5/17/2020,27.07520724
5/18/2020,27.45302102
5/19/2020,27.81885654
5/20/2020,28.17317077
5/21/2020,28.51640522
5/22/2020,28.84898583
5/23/2020,29.171323
5/24/2020,29.4838117
5/25/2020,29.78683169
5/26/2020,30.08074783
5/27/2020,30.36591034
5/28/2020,30.64265526
5/29/2020,30.9113048
5/30/2020,31.17216779
5/31/2020,31.42554014
6/1/2020,31.67170529
6/2/2020,31.91093467
