State,Border Closure,Initial business closure,Educational facilities closed,Non-essential services closed,Stay at home order,contact restriction,retails closed
Baden-Wurttemberg,106,111,107,107,111,112,118
Bayern,106,107,106,111,111,112,121
Berlin,1000,104,113,113,113,112,123
Brandenburg,106,107,108,107,107,112,107
Bremen,1000,120,106,110,102,112,107
Hamburg,1000,105,106,1000,112,112,105
Hessen,1000,105,106,1000,112,112,107
Mecklenburg-Vorpommern,106,108,106,108,113,112,1000
Niedersachsen,1000,117,106,117,113,112,1000
Nordrhein-Westfalen,110,97,106,113,113,112,1000
Rheinland-Pfalz,106,113,106,113,112,112,111
Saarland,106,105,106,1000,111,112,108
Sachsen,106,113,113,113,113,112,121
Sachsen-Anhalt,1000,114,106,114,112,112,1000
Schleswig-Holstein,106,104,106,114,114,112,113
Thuringen,1000,105,107,1000,112,112,1000
